"날짜","종가","오픈","고가","저가","거래량","변동 %"
"1991- 08- 01","14.46","15.47","21.19","14.41","","-4.74%"
"1991- 07- 01","15.18","18.64","20.29","15.18","","-22.35%"
"1991- 06- 01","19.55","16.87","19.55","15.50","","22.72%"
"1991- 05- 01","15.93","17.77","18.38","15.23","","-12.66%"
"1991- 04- 01","18.24","17.42","20.12","15.47","","8.06%"
"1991- 03- 01","16.88","21.23","21.23","14.90","","-20.49%"
"1991- 02- 01","21.23","21.04","23.60","19.57","","1.53%"
"1991- 01- 01","20.91","26.62","36.20","20.91","","-20.74%"
"1990- 12- 01","26.38","22.29","26.38","20.94","","19.04%"
"1990- 11- 01","22.16","30.25","30.87","20.09","","-26.23%"
"1990- 10- 01","30.04","28.06","33.98","27.27","","3.19%"
"1990- 09- 01","29.11","29.58","30.56","27.88","","-2.64%"
"1990- 08- 01","29.90","21.64","36.47","20.43","","41.64%"
"1990- 07- 01","21.11","16.26","23.68","15.63","","36.19%"
"1990- 06- 01","15.50","17.09","19.36","14.72","","-10.77%"
"1990- 05- 01","17.37","18.43","20.14","16.72","","-11.01%"
"1990- 04- 01","19.52","22.84","24.16","17.73","","-1.06%"
"1990- 03- 01","19.73","21.90","22.74","17.62","","-10.28%"
"1990- 02- 01","21.99","24.87","24.87","19.71","","-13.29%"
