발표일,실제
1984년 09월 01일 (8월),4.30%
1984년 08월 01일 (7월),4.20%
1984년 07월 01일 (6월),4.20%
1984년 06월 01일 (5월),4.20%
1984년 05월 01일 (4월),4.60%
1984년 04월 01일 (3월),4.80%
1984년 03월 01일 (2월),4.60%
1984년 02월 01일 (1월),4.20%
1984년 01월 01일 (12월),3.80%
1983년 12월 01일 (11월),3.30%
1983년 11월 01일 (10월),2.90%
1983년 10월 01일 (9월),2.90%
1983년 09월 01일 (8월),2.60%
1983년 08월 01일 (7월),2.50%
1983년 07월 01일 (6월),2.60%
1983년 06월 01일 (5월),3.50%
1983년 05월 01일 (4월),3.90%
1983년 04월 01일 (3월),3.60%
1983년 03월 01일 (2월),3.50%
1983년 02월 01일 (1월),3.70%
1983년 01월 01일 (12월),3.80%
1982년 12월 01일 (11월),4.60%
1982년 11월 01일 (10월),5.10%
1982년 10월 01일 (9월),5.00%
1982년 09월 01일 (8월),5.90%
1982년 08월 01일 (7월),6.40%
1982년 07월 01일 (6월),7.10%
1982년 06월 01일 (5월),6.70%
1982년 05월 01일 (4월),6.50%
1982년 04월 01일 (3월),6.80%
1982년 03월 01일 (2월),7.60%
1982년 02월 01일 (1월),8.40%
1982년 01월 01일 (12월),8.90%
1981년 12월 01일 (11월),9.60%
1981년 11월 01일 (10월),10.10%
1981년 10월 01일 (9월),11.00%
1981년 09월 01일 (8월),10.80%
1981년 08월 01일 (7월),10.80%
1981년 07월 01일 (6월),9.60%
1981년 06월 01일 (5월),9.80%
1981년 05월 01일 (4월),10.00%
1981년 04월 01일 (3월),10.50%
1981년 03월 01일 (2월),11.40%
1981년 02월 01일 (1월),11.80%
1981년 01월 01일 (12월),12.50%
1980년 12월 01일 (11월),12.60%
1980년 11월 01일 (10월),12.80%
1980년 10월 01일 (9월),12.60%
1980년 09월 01일 (8월),12.90%
1980년 08월 01일 (7월),13.10%
1980년 07월 01일 (6월),14.40%
1980년 06월 01일 (5월),14.40%
1980년 05월 01일 (4월),14.70%
1980년 04월 01일 (3월),14.80%
1980년 03월 01일 (2월),14.20%
1980년 02월 01일 (1월),13.90%
1980년 01월 01일 (12월),13.30%
1979년 12월 01일 (11월),12.60%
1979년 11월 01일 (10월),12.10%
1979년 10월 01일 (9월),12.20%
1979년 09월 01일 (8월),11.80%
1979년 08월 01일 (7월),11.30%
1979년 07월 01일 (6월),10.90%
1979년 06월 01일 (5월),10.90%
1979년 05월 01일 (4월),10.50%
1979년 04월 01일 (3월),10.10%
1979년 03월 01일 (2월),9.90%
1979년 02월 01일 (1월),9.30%
1979년 01월 01일 (12월),9.00%
1978년 12월 01일 (11월),8.90%
1978년 11월 01일 (10월),8.90%
1978년 10월 01일 (9월),8.30%
1978년 09월 01일 (8월),7.80%
1978년 08월 01일 (7월),7.70%
1978년 07월 01일 (6월),7.40%
1978년 06월 01일 (5월),7.00%
1978년 05월 01일 (4월),6.50%
1978년 04월 01일 (3월),6.60%
1978년 03월 01일 (2월),6.40%
1978년 02월 01일 (1월),6.80%
1978년 01월 01일 (12월),6.70%
1977년 12월 01일 (11월),6.70%
1977년 11월 01일 (10월),6.40%
1977년 10월 01일 (9월),6.60%
1977년 09월 01일 (8월),6.60%
1977년 08월 01일 (7월),6.80%
1977년 07월 01일 (6월),6.90%
1977년 06월 01일 (5월),6.70%
1977년 05월 01일 (4월),7.00%
1977년 04월 01일 (3월),6.40%
1977년 03월 01일 (2월),5.90%
1977년 02월 01일 (1월),5.20%
1977년 01월 01일 (12월),4.90%
1976년 12월 01일 (11월),4.90%
1976년 11월 01일 (10월),5.50%
1976년 10월 01일 (9월),5.50%
1976년 09월 01일 (8월),5.70%
1976년 08월 01일 (7월),5.40%
1976년 07월 01일 (6월),6.00%
1976년 06월 01일 (5월),6.20%
1976년 05월 01일 (4월),6.00%
1976년 04월 01일 (3월),6.10%
1976년 03월 01일 (2월),6.30%
1976년 02월 01일 (1월),6.70%
1976년 01월 01일 (12월),6.90%
1975년 12월 01일 (11월),7.40%
1975년 11월 01일 (10월),7.40%
1975년 10월 01일 (9월),7.90%
1975년 09월 01일 (8월),8.60%
1975년 08월 01일 (7월),9.70%
1975년 07월 01일 (6월),9.40%
1975년 06월 01일 (5월),9.50%
1975년 05월 01일 (4월),10.20%
1975년 04월 01일 (3월),10.30%
1975년 03월 01일 (2월),11.20%
1975년 02월 01일 (1월),11.80%
1975년 01월 01일 (12월),12.30%
1974년 12월 01일 (11월),12.20%
1974년 11월 01일 (10월),12.10%
1974년 10월 01일 (9월),11.90%
1974년 09월 01일 (8월),10.90%
1974년 08월 01일 (7월),11.50%
1974년 07월 01일 (6월),10.90%
1974년 06월 01일 (5월),10.70%
1974년 05월 01일 (4월),10.10%
1974년 04월 01일 (3월),10.40%
1974년 03월 01일 (2월),10.00%
1974년 02월 01일 (1월),9.40%
1974년 01월 01일 (12월),8.70%
1973년 12월 01일 (11월),8.30%
1973년 11월 01일 (10월),7.80%
