"날짜","종가","오픈","고가","저가","거래량","변동 %"
"1998년 9월","96.020","99.580","100.100","95.310","21.16K","-4.10%"
"1998년 8월","100.130","100.930","102.820","99.500","43.33K","-0.95%"
"1998년 7월","101.090","100.770","102.460","99.970","31.40K","0.11%"
"1998년 6월","100.980","100.250","102.470","99.350","19.35K","0.55%"
"1998년 5월","100.430","99.600","100.630","98.400","38.61K","0.84%"
"1998년 4월","99.590","101.350","102.000","98.940","35.54K","-1.76%"
"1998년 3월","101.370","99.610","101.500","99.100","34.22K","1.61%"
"1998년 2월","99.760","100.720","100.920","98.420","32.76K","-0.91%"
"1998년 1월","100.680","99.790","101.650","97.050","46.76K","1.11%"
"1997년 12월","99.570","97.630","99.680","97.720","26.62K","1.80%"
"1997년 11월","97.810","95.480","97.950","94.650","27.88K","2.53%"
"1997년 10월","95.400","96.970","98.100","94.750","40.99K","-1.57%"
"1997년 9월","96.920","99.290","100.200","96.400","27.41K","-2.10%"
"1997년 8월","99.000","99.500","101.680","97.850","41.23K","-0.50%"
"1997년 7월","99.500","95.340","99.940","94.880","51.73K","4.30%"
"1997년 6월","95.400","95.200","96.200","94.370","22.41K","0.66%"
"1997년 5월","94.770","97.040","97.200","92.930","32.01K","-2.30%"
"1997년 4월","97.000","94.450","97.360","93.690","30.35K","2.68%"
"1997년 3월","94.470","94.960","96.300","93.850","28.15K","-0.45%"
"1997년 2월","94.900","92.920","95.730","92.780","33.35K","2.13%"
"1997년 1월","92.920","88.140","93.450","88.010","41.26K","5.76%"
"1996년 12월","87.860","87.880","89.200","87.700","27.44K","-0.02%"
"1996년 11월","87.880","87.270","87.930","85.950","28.01K","0.69%"
"1996년 10월","87.280","87.620","88.400","86.760","29.78K","-0.50%"
"1996년 9월","87.720","86.420","87.860","86.220","31.83K","1.60%"
"1996년 8월","86.340","85.760","86.940","85.680","31.66K","0.68%"
"1996년 7월","85.760","87.700","88.200","85.500","41.00K","-2.16%"
"1996년 6월","87.650","87.740","88.550","87.300","28.54K","-0.17%"
"1996년 5월","87.800","87.990","89.050","87.340","35.66K","-0.20%"
"1996년 4월","87.980","86.520","88.300","86.190","47.16K","1.78%"
"1996년 3월","86.440","86.190","87.170","86.010","32.36K","0.14%"
"1996년 2월","86.320","87.190","87.620","85.220","33.53K","-1.27%"
"1996년 1월","87.430","84.810","87.770","84.510","44.59K","3.06%"
"1995년 12월","84.830","85.230","85.610","84.460","18.20K","-0.63%"
"1995년 11월","85.370","83.670","85.440","83.280","36.66K","1.97%"
"1995년 10월","83.720","84.470","85.100","83.050","32.96K","-0.85%"
"1995년 9월","84.440","85.600","87.400","83.280","23.02K","-1.37%"
"1995년 8월","85.610","81.710","86.760","81.060","41.19K","4.80%"
"1995년 7월","81.690","81.690","82.900","81.150","24.63K","-0.05%"
"1995년 6월","81.730","82.800","83.700","81.400","22.98K","-1.14%"
"1995년 5월","82.670","82.070","85.200","80.650","42.09K","0.92%"
"1995년 4월","81.920","82.500","83.320","80.140","30.70K","-0.19%"
"1995년 3월","82.080","85.880","86.140","81.600","29.25K","-4.47%"
"1995년 2월","85.920","87.980","88.550","85.720","28.26K","-2.40%"
"1995년 1월","88.030","89.270","89.790","86.950","38.89K","-0.74%"
"1994년 12월","88.690","89.070","90.300","87.990","20.91K","-0.56%"
"1994년 11월","89.190","85.610","89.290","85.240","41.75K","3.98%"
"1994년 10월","85.780","87.910","88.560","84.950","42.10K","-2.53%"
"1994년 9월","88.010","89.800","89.800","87.120","30.51K","-1.93%"
"1994년 8월","89.740","89.380","90.500","87.470","52.69K","-0.39%"
"1994년 7월","90.090","89.710","90.840","86.850","47.76K","0.31%"
"1994년 6월","89.810","92.560","93.640","89.320","35.73K","-2.97%"
"1994년 5월","92.560","92.390","93.950","91.710","33.62K","0.33%"
"1994년 4월","92.260","94.700","95.880","91.830","39.90K","-1.40%"
"1994년 3월","93.570","94.700","95.520","93.250","35.30K","-1.16%"
"1994년 2월","94.670","95.900","97.440","94.430","46.38K","-1.35%"
"1994년 1월","95.970","97.630","97.850","95.500","52.17K","-1.53%"
"1993년 12월","97.460","96.450","97.580","94.940","26.71K","1.07%"
"1993년 11월","96.430","95.680","96.620","94.620","44.99K","0.76%"
"1993년 10월","95.700","93.560","96.000","91.770","54.84K","2.16%"
"1993년 9월","93.680","94.240","94.300","90.300","40.58K","-0.54%"
"1993년 8월","94.190","96.550","96.730","93.350","41.14K","-2.22%"
"1993년 7월","96.330","94.580","96.590","93.500","42.89K","1.79%"
"1993년 6월","94.640","89.130","95.340","88.920","38.36K","6.13%"
"1993년 5월","89.170","90.080","91.680","88.920","42.99K","-1.08%"
"1993년 4월","90.140","92.980","93.280","88.980","42.58K","-3.01%"
"1993년 3월","92.940","93.750","95.680","92.870","38.66K","-1.57%"
"1993년 2월","94.420","93.550","95.960","92.780","39.69K","1.12%"
"1993년 1월","93.370","94.150","94.970","90.780","50.54K","-0.53%"
"1992년 12월","93.870","91.100","94.200","88.630","31.35K","3.02%"
"1992년 11월","91.120","88.400","92.000","88.450","36.46K","3.09%"
"1992년 10월","88.390","82.710","88.800","82.640","35.28K","6.37%"
